 time            v(out)          time            v(outpl)       
 1.91500000e-01  9.03665386e-01  1.91500000e-01  8.71031479e-01 
 1.92500000e-01  9.02287341e-01  1.92500000e-01  8.69558623e-01 
 1.93500000e-01  9.01223290e-01  1.93500000e-01  8.68427614e-01 
 1.94500000e-01  9.00562627e-01  1.94500000e-01  8.67731824e-01 
 1.95500000e-01  9.00354374e-01  1.95500000e-01  8.67522233e-01 
 1.96500000e-01  9.00599755e-01  1.96500000e-01  8.67800126e-01 
 1.97500000e-01  9.01252429e-01  1.97500000e-01  8.68517172e-01 
 1.98500000e-01  9.02225195e-01  1.98500000e-01  8.69582235e-01 
 1.99500000e-01  9.03401556e-01  1.99500000e-01  8.70872354e-01 
 2.00500000e-01  9.04647449e-01  2.00500000e-01  8.72244424e-01 
 2.01500000e-01  9.05823711e-01  2.01500000e-01  8.73547220e-01 
 2.02500000e-01  9.06797462e-01  2.02500000e-01  8.74633930e-01 
 2.03500000e-01  9.07454140e-01  2.03500000e-01  8.75375839e-01 
 2.04500000e-01  9.07708757e-01  2.04500000e-01  8.75676057e-01 
 2.05500000e-01  9.07515090e-01  2.05500000e-01  8.75481599e-01 
 2.06500000e-01  9.06871499e-01  2.06500000e-01  8.74790801e-01 
 2.07500000e-01  9.05821266e-01  2.07500000e-01  8.73653661e-01 
 2.08500000e-01  9.04447054e-01  2.08500000e-01  8.72164846e-01 
 2.09500000e-01  9.02862780e-01  2.09500000e-01  8.70452162e-01 
 2.10500000e-01  9.01201531e-01  2.10500000e-01  8.68662765e-01 
 2.11500000e-01  8.99604095e-01  2.11500000e-01  8.66949397e-01 
 2.12500000e-01  8.98206843e-01  2.12500000e-01  8.65457433e-01 
 2.13500000e-01  8.97129106e-01  2.13500000e-01  8.64312884e-01 
 2.14500000e-01  8.96461299e-01  2.14500000e-01  8.63610035e-01 
 2.15500000e-01  8.96252797e-01  2.15500000e-01  8.63400319e-01 
 2.16500000e-01  8.96505099e-01  2.16500000e-01  8.63685017e-01 
 2.17500000e-01  8.97171059e-01  2.17500000e-01  8.64415363e-01 
 2.18500000e-01  8.98162713e-01  2.18500000e-01  8.65499315e-01 
 2.19500000e-01  8.99362181e-01  2.19500000e-01  8.66812515e-01 
 2.20000000e-01  8.99997653e-01  2.20000000e-01  8.67510118e-01 
 2.20100000e-01  9.00145228e-01  2.20100000e-01  8.67670519e-01 
 2.20300000e-01  9.00440293e-01  2.20300000e-01  8.67991305e-01 
 2.20700000e-01  9.01023945e-01  2.20700000e-01  8.68626717e-01 
 2.21500000e-01  9.02133956e-01  2.21500000e-01  8.69838379e-01 
 2.22500000e-01  9.03326802e-01  2.22500000e-01  8.71145247e-01 
 2.23500000e-01  9.04195683e-01  2.23500000e-01  8.72100397e-01 
 2.24500000e-01  9.04654811e-01  2.24500000e-01  8.72606155e-01 
 2.25500000e-01  9.04658117e-01  2.25500000e-01  8.72609738e-01 
 2.26500000e-01  9.04205438e-01  2.26500000e-01  8.72110878e-01 
 2.27500000e-01  9.03342050e-01  2.27500000e-01  8.71161688e-01 
 2.28500000e-01  9.02153347e-01  2.28500000e-01  8.69859319e-01 
 2.29500000e-01  9.00755061e-01  2.29500000e-01  8.68333792e-01 
 2.30500000e-01  8.99282425e-01  2.30500000e-01  8.66734033e-01 
 2.31500000e-01  8.97877033e-01  2.31500000e-01  8.65213784e-01 
 2.32500000e-01  8.96675723e-01  2.32500000e-01  8.63918839e-01 
 2.33500000e-01  8.95797670e-01  2.33500000e-01  8.62975007e-01 
 2.34500000e-01  8.95332725e-01  2.34500000e-01  8.62476017e-01 
 2.35500000e-01  8.95329394e-01  2.35500000e-01  8.62472403e-01 
 2.36500000e-01  8.95787950e-01  2.36500000e-01  8.62964442e-01 
 2.37500000e-01  8.96660386e-01  2.37500000e-01  8.63902240e-01 
 2.38500000e-01  8.97857659e-01  2.38500000e-01  8.65192747e-01 
 2.39500000e-01  8.99260900e-01  2.39500000e-01  8.66710701e-01 
 2.40500000e-01  9.00733564e-01  2.40500000e-01  8.68310537e-01 
 2.41500000e-01  9.02133951e-01  2.41500000e-01  8.69838434e-01 
 2.42500000e-01  9.03326797e-01  2.42500000e-01  8.71145239e-01 
 2.43500000e-01  9.04195704e-01  2.43500000e-01  8.72100397e-01 
 2.44500000e-01  9.04654802e-01  2.44500000e-01  8.72606155e-01 
 2.45500000e-01  9.04658146e-01  2.45500000e-01  8.72609738e-01 
 2.46500000e-01  9.04205429e-01  2.46500000e-01  8.72110878e-01 
 2.47500000e-01  9.03342062e-01  2.47500000e-01  8.71161688e-01 
 2.48500000e-01  9.02153326e-01  2.48500000e-01  8.69859318e-01 
 2.49500000e-01  9.00755072e-01  2.49500000e-01  8.68333792e-01 
 2.50500000e-01  8.99282418e-01  2.50500000e-01  8.66734032e-01 
 2.51500000e-01  8.97877068e-01  2.51500000e-01  8.65213785e-01 
