 frequency       gain_db        
 3.98107171e+02  3.65067548e+01 
 5.01187234e+02  3.65066552e+01 
 6.30957344e+02  3.65064975e+01 
 7.94328235e+02  3.65062475e+01 
 1.00000000e+03  3.65058513e+01 
 1.25892541e+03  3.65052235e+01 
 1.58489319e+03  3.65042287e+01 
 1.99526231e+03  3.65026525e+01 
 2.51188643e+03  3.65001555e+01 
 3.16227766e+03  3.64962009e+01 
 3.98107171e+03  3.64899408e+01 
 5.01187234e+03  3.64800376e+01 
 6.30957344e+03  3.64643882e+01 
 7.94328235e+03  3.64397005e+01 
 1.00000000e+04  3.64008584e+01 
 1.25892541e+04  3.63400005e+01 
 1.58489319e+04  3.62452607e+01 
 1.99526231e+04  3.60992176e+01 
 2.51188643e+04  3.58773672e+01 
 3.16227766e+04  3.55474422e+01 
 3.98107171e+04  3.50710263e+01 
 5.01187234e+04  3.44090162e+01 
 6.30957344e+04  3.35309174e+01 
 7.94328235e+04  3.24245692e+01 
 1.00000000e+05  3.11006051e+01 
 1.25892541e+05  2.95885354e+01 
 1.58489319e+05  2.79272057e+01 
 1.99526231e+05  2.61553338e+01 
 2.51188643e+05  2.43057773e+01 
 3.16227766e+05  2.24037397e+01 
 3.98107171e+05  2.04673999e+01 
 5.01187234e+05  1.85094687e+01 
 6.30957344e+05  1.65388117e+01 
 7.94328235e+05  1.45618321e+01 
 1.00000000e+06  1.25836091e+01 
 1.25892541e+06  1.06088929e+01 
 1.58489319e+06  8.64307347e+00 
 1.99526231e+06  6.69324526e+00 
 2.51188643e+06  4.76949229e+00 
 3.16227766e+06  2.88647502e+00 
 3.98107171e+06  1.06527135e+00 
 5.01187234e+06 -6.64876397e-01 
 6.30957344e+06 -2.26576754e+00 
 7.94328235e+06 -3.69176007e+00 
 1.00000000e+07 -4.89457659e+00 
 1.25892541e+07 -5.82986733e+00 
 1.58489319e+07 -6.45970175e+00 
 1.99526231e+07 -6.74278872e+00 
 2.51188643e+07 -6.61054172e+00 
 3.16227766e+07 -5.98194413e+00 
 3.98107171e+07 -5.24732834e+00 
 5.01187234e+07 -6.27998214e+00 
 6.30957344e+07 -8.30503831e+00 
 7.94328235e+07 -9.01589552e+00 
 1.00000000e+08 -8.75935210e+00 
 1.25892541e+08 -8.07536274e+00 
 1.58489319e+08 -7.10874102e+00 
 1.99526231e+08 -5.91588862e+00 
 2.51188643e+08 -4.54166039e+00 
 3.16227766e+08 -3.04315643e+00 
 3.98107171e+08 -1.49288486e+00 
 5.01187234e+08  2.87195908e-02 
 6.30957344e+08  1.44029476e+00 
 7.94328235e+08  2.66156784e+00 
 1.00000000e+09  3.61454437e+00 
 frequency       gain_db        
 1.00000000e+00  2.15594200e+01 
 1.25892541e+00  2.15594200e+01 
 1.58489319e+00  2.15594200e+01 
 1.99526231e+00  2.15594200e+01 
 2.51188643e+00  2.15594200e+01 
 3.16227766e+00  2.15594200e+01 
 3.98107171e+00  2.15594200e+01 
 5.01187234e+00  2.15594200e+01 
 6.30957344e+00  2.15594200e+01 
 7.94328235e+00  2.15594200e+01 
 1.00000000e+01  2.15594200e+01 
 1.25892541e+01  2.15594200e+01 
 1.58489319e+01  2.15594200e+01 
