 v-sweep         v(out)          v-sweep         v(outpl)        v-sweep         deriv(v(out))   v-sweep         deriv(v(outpl))
 9.00400000e-01  9.93654379e-01  9.00400000e-01  1.00304451e+00  9.00400000e-01  1.58125986e+02  9.00400000e-01  1.47779272e+02 
 9.00410000e-01  9.95224786e-01  9.00410000e-01  1.00451195e+00  9.00410000e-01  1.55995216e+02  9.00410000e-01  1.45878191e+02 
 9.00420000e-01  9.96774283e-01  9.00420000e-01  1.00596207e+00  9.00420000e-01  1.53920474e+02  9.00420000e-01  1.44147778e+02 
 9.00430000e-01  9.98303195e-01  9.00430000e-01  1.00739491e+00  9.00430000e-01  1.51899475e+02  9.00430000e-01  1.42364039e+02 
 9.00440000e-01  9.99812273e-01  9.00440000e-01  1.00880936e+00  9.00440000e-01  1.49936392e+02  9.00440000e-01  1.40624960e+02 
 9.00450000e-01  1.00130192e+00  9.00450000e-01  1.01020740e+00  9.00450000e-01  1.48023053e+02  9.00450000e-01  1.38979507e+02 
 9.00460000e-01  1.00277273e+00  9.00460000e-01  1.01158895e+00  9.00460000e-01  1.46162056e+02  9.00460000e-01  1.37353808e+02 
 9.00470000e-01  1.00422516e+00  9.00470000e-01  1.01295448e+00  9.00470000e-01  1.44347540e+02  9.00470000e-01  1.35770003e+02 
 9.00480000e-01  1.00565968e+00  9.00480000e-01  1.01430435e+00  9.00480000e-01  1.42581035e+02  9.00480000e-01  1.34202052e+02 
 9.00490000e-01  1.00707678e+00  9.00490000e-01  1.01563852e+00  9.00490000e-01  1.40858805e+02  9.00490000e-01  1.32680255e+02 
 9.00500000e-01  1.00847686e+00  9.00500000e-01  1.01695795e+00  9.00500000e-01  1.39179599e+02  9.00500000e-01  1.31218835e+02 
 9.00510000e-01  1.00986038e+00  9.00510000e-01  1.01826290e+00  9.00510000e-01  1.37535955e+02  9.00510000e-01  1.29766569e+02 
 9.00520000e-01  1.01122758e+00  9.00520000e-01  1.01955328e+00  9.00520000e-01  1.35938614e+02  9.00520000e-01  1.28347500e+02 
 9.00530000e-01  1.01257915e+00  9.00530000e-01  1.02082985e+00  9.00530000e-01  1.34385272e+02  9.00530000e-01  1.27140896e+02 
 9.00540000e-01  1.01391529e+00  9.00540000e-01  1.02209610e+00  9.00540000e-01  1.32859303e+02  9.00540000e-01  1.25625527e+02 
 9.00550000e-01  1.01523634e+00  9.00550000e-01  1.02334236e+00  9.00550000e-01  1.31370699e+02  9.00550000e-01  1.24139998e+02 
 9.00560000e-01  1.01654270e+00  9.00560000e-01  1.02457890e+00  9.00560000e-01  1.29920722e+02  9.00560000e-01  1.23016221e+02 
 9.00570000e-01  1.01783475e+00  9.00570000e-01  1.02580268e+00  9.00570000e-01  1.28502224e+02  9.00570000e-01  1.21758626e+02 
 9.00580000e-01  1.01911274e+00  9.00580000e-01  1.02701407e+00  9.00580000e-01  1.27113408e+02  9.00580000e-01  1.20519192e+02 
 9.00590000e-01  1.02037702e+00  9.00590000e-01  1.02821307e+00  9.00590000e-01  1.25757122e+02  9.00590000e-01  1.19305963e+02 
 9.00600000e-01  1.02162789e+00  9.00600000e-01  1.02940019e+00  9.00600000e-01  1.24433754e+02  9.00600000e-01  1.18127043e+02 
 9.00610000e-01  1.02286569e+00  9.00610000e-01  1.03057561e+00  9.00610000e-01  1.23139312e+02  9.00610000e-01  1.16968311e+02 
 9.00620000e-01  1.02409067e+00  9.00620000e-01  1.03173956e+00  9.00620000e-01  1.21868769e+02  9.00620000e-01  1.15833211e+02 
 9.00630000e-01  1.02530307e+00  9.00630000e-01  1.03289227e+00  9.00630000e-01  1.20627989e+02  9.00630000e-01  1.14721566e+02 
 9.00640000e-01  1.02650323e+00  9.00640000e-01  1.03403399e+00  9.00640000e-01  1.19418015e+02  9.00640000e-01  1.13632149e+02 
 9.00650000e-01  1.02769143e+00  9.00650000e-01  1.03516492e+00  9.00650000e-01  1.18229172e+02  9.00650000e-01  1.12564442e+02 
 9.00660000e-01  1.02886782e+00  9.00660000e-01  1.03628528e+00  9.00660000e-01  1.17061684e+02  9.00660000e-01  1.11517974e+02 
 9.00670000e-01  1.03003266e+00  9.00670000e-01  1.03739528e+00  9.00670000e-01  1.15922247e+02  9.00670000e-01  1.10506693e+02 
 9.00680000e-01  1.03118626e+00  9.00680000e-01  1.03849541e+00  9.00680000e-01  1.14805736e+02  9.00680000e-01  1.09485219e+02 
 9.00690000e-01  1.03232878e+00  9.00690000e-01  1.03958498e+00  9.00690000e-01  1.13712759e+02  9.00690000e-01  1.08482995e+02 
 9.00700000e-01  1.03346052e+00  9.00700000e-01  1.04066507e+00  9.00700000e-01  1.12640895e+02  9.00700000e-01  1.07529690e+02 
 9.00710000e-01  1.03458159e+00  9.00710000e-01  1.04173557e+00  9.00710000e-01  1.11589480e+02  9.00710000e-01  1.06581619e+02 
